dataset,model,level,feature_set,threshold_value,precision_normal,recall_normal,f1_score_normal,precision_anomalous,recall_anomalous,f1_score_anomalous
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,1.5,0.6994038413484789,0.9734586466165414,0.8139826270514863,0.27745210894352185,0.023775743707093823,0.043792245616586074
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,1.75,0.6997578173951766,0.9815691402419091,0.817045692911722,0.2868302933883592,0.017298499872870583,0.03262278814808941
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,2.0,0.699940110837949,0.9878571428571428,0.819340880232599,0.2951772588987941,0.011861174675819985,0.022799258737881394
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,2.25,0.700019263492802,0.992379317859867,0.8209467336067897,0.30242916940244075,0.007711670480549199,0.015036296106663205
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,2.5,0.7000251892170483,0.9953824779339653,0.8219766523766895,0.30480245627962704,0.004736842105263158,0.009326866614911413
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-1.5,0.7123355897007835,0.11949438814427374,0.20465582972478275,0.30164076138784596,0.8874014747012458,0.4502386715442401
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-1.25,0.7196517272136879,0.196101667211507,0.30821006353114905,0.30463414852536863,0.8217543859649122,0.44448984967348215
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-1.0,0.762245978696446,0.3458575787294323,0.47581913591100433,0.32897223662202946,0.7482862954487668,0.457021944028126
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-0.75,0.7918408963398612,0.5258020050125313,0.6319608058599508,0.3797724086617468,0.677485380116959,0.48671058278596335
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-0.5,0.7854920776693456,0.6525177073117576,0.7128520187335294,0.41880402834920955,0.5842168827866769,0.4878648743405253
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,-0.25,0.7550181012329602,0.7406423667865315,0.7477606991785631,0.4205751813516282,0.43925883549453343,0.42971278575086985
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,0.0,0.7288229913725321,0.804346736406233,0.7647247119598226,0.3978919820311879,0.30168573607932875,0.34317366051398396
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,0.25,0.7154377314893231,0.8521156151247684,0.7778178501077704,0.3774068101413467,0.20917365878464275,0.2691635336533681
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,0.5,0.70921812967377,0.8889751552795031,0.7889871720399155,0.3659701598271329,0.14953852021357744,0.21231664756982244
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,0.75,0.7059896249379742,0.9166917293233082,0.7976607294956704,0.35974169650018556,0.10923086702262903,0.16757390447162662
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,1.0,0.7037416101255892,0.9371036286368094,0.8038278401576816,0.35134260673644596,0.07950292397660819,0.1296585967072589
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,1.25,0.7021086241857308,0.9531175765500709,0.8085804438206091,0.3401884733551897,0.05642257818459191,0.09678362530396752
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,1.5,0.7009941037802878,0.9656243870545931,0.8122996444716637,0.3267599189331702,0.0389397406559878,0.06958108834543267
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,1.75,0.7005061881899836,0.9751389342922524,0.8153167023638389,0.3192006445177401,0.0272095092804475,0.05014045371835454
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,2.0,0.70024206061631,0.9819565217391304,0.8175100880734665,0.3129296666523981,0.019174930078820242,0.036132191961593285
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,2.25,0.7002069311607196,0.9869881224801134,0.8192245811647567,0.31550329979254493,0.01398423595219934,0.026778032837593436
BPI_Challenge_2012,IsolationForest,L1_Micro,position_based,2.5,0.7002085022366679,0.9906374632232756,0.820480072541103,0.32142851909373893,0.010345792016272564,0.0200438975194873
BPI_Challenge_2012,IsolationForest,L1_Micro,process_context,-1.5,0.7107312883707183,0.1290672333006429,0.21845562968743565,0.3015634261109042,0.8774307144673278,0.44885849060378274
